,model,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,mse,rmse,mae,r2
28,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,2,200,2073.235213801362,45.53279273009028,13.031227628490765,0.9909307435968925
24,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,10,100,2122.3183882732196,46.06862694147959,13.729132029954226,0.9907160318789936
51,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,10,100,2122.3183882732196,46.06862694147959,13.729132029954226,0.9907160318789936
27,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,2,100,2122.453943164169,46.07009814580569,13.343366260035738,0.9907154389013832
0,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,2,100,2122.453943164169,46.07009814580569,13.343366260035738,0.9907154389013832
43,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,10,200,2136.295501023697,46.22007681758758,13.410474710171624,0.9906548897478619
16,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,10,200,2136.295501023697,46.22007681758758,13.410474710171624,0.9906548897478619
17,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,10,300,2143.879841942192,46.30205008357829,13.297826163948352,0.9906217124547209
44,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,10,300,2143.879841942192,46.30205008357829,13.297826163948352,0.9906217124547209
53,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,10,300,2148.228975485546,46.34899109458097,13.612478537013947,0.9906026874029692
26,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,10,300,2148.228975485546,46.34899109458097,13.612478537013947,0.9906026874029692
8,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,10,300,2198.5490308786816,46.88868766428297,13.361502001030592,0.9903825650157259
35,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,10,300,2198.5490308786816,46.88868766428297,13.361502001030592,0.9903825650157259
23,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,5,300,2223.2676633998963,47.15153935344949,13.519881064718227,0.9902744346816582
20,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,2,300,2223.2676633998963,47.15153935344949,13.519881064718227,0.9902744346816582
50,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,5,300,2223.2676633998963,47.15153935344949,13.519881064718227,0.9902744346816582
47,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,2,300,2223.2676633998963,47.15153935344949,13.519881064718227,0.9902744346816582
52,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,10,200,2242.6773134521954,47.35691410398481,13.832172086578858,0.990189528207059
25,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,10,200,2242.6773134521954,47.35691410398481,13.832172086578858,0.990189528207059
6,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,10,100,2252.202121286229,47.45737162218562,13.423267528286583,0.9901478624453248
33,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,10,100,2252.202121286229,47.45737162218562,13.423267528286583,0.9901478624453248
22,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,5,200,2307.2309559995347,48.033644000841065,13.809167276562311,0.9899071417551412
19,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,2,200,2307.2309559995347,48.033644000841065,13.809167276562311,0.9899071417551412
46,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,2,200,2307.2309559995347,48.033644000841065,13.809167276562311,0.9899071417551412
49,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,5,200,2307.2309559995347,48.033644000841065,13.809167276562311,0.9899071417551412
7,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,10,200,2342.3533413361656,48.397865049361066,13.697366057636664,0.9897535007615934
34,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,10,200,2342.3533413361656,48.397865049361066,13.697366057636664,0.9897535007615934
21,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,5,100,2454.3497259457135,49.54139406542486,13.73370250407247,0.9892635785754934
18,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,4,2,100,2454.3497259457135,49.54139406542486,13.73370250407247,0.9892635785754934
48,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,5,100,2454.3497259457135,49.54139406542486,13.73370250407247,0.9892635785754934
45,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,4,2,100,2454.3497259457135,49.54139406542486,13.73370250407247,0.9892635785754934
