,model,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,mse,rmse,mae,r2
62,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,10,300,1414.8157481184492,37.614036583680424,5.620308258586597,0.9938109642854687
89,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,10,300,1414.8157481184492,37.614036583680424,5.620308258586597,0.9938109642854687
122,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,5,300,1417.104673854192,37.644450771052455,5.8010716950248735,0.9938009515024294
149,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,5,300,1417.104673854192,37.644450771052455,5.8010716950248735,0.9938009515024294
145,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,2,200,1417.8026630939673,37.653720441597365,5.826105268758517,0.9937978981858834
118,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,2,200,1417.8026630939673,37.653720441597365,5.826105268758517,0.9937978981858834
111,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,5,100,1447.8955246556895,38.05122238057129,5.409333713252486,0.9936662585747145
138,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,5,100,1447.8955246556895,38.05122238057129,5.409333713252486,0.9936662585747145
61,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,10,200,1460.410444261888,38.215316880301906,5.683298291751196,0.9936115127291792
88,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,10,200,1460.410444261888,38.215316880301906,5.683298291751196,0.9936115127291792
113,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,5,300,1460.6398619276265,38.21831840789998,5.302635896175809,0.9936105091538878
140,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,5,300,1460.6398619276265,38.21831840789998,5.302635896175809,0.9936105091538878
148,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,5,200,1470.2770133586662,38.344191390074535,5.827333134915617,0.9935683519511055
121,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,5,200,1470.2770133586662,38.344191390074535,5.827333134915617,0.9935683519511055
91,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,2,200,1480.5852228255455,38.478373443085474,5.8536947169164195,0.9935232592408864
64,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,2,200,1480.5852228255455,38.478373443085474,5.8536947169164195,0.9935232592408864
116,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,10,300,1486.678464202815,38.55746962914987,5.5872195996123795,0.9934966046828272
143,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,10,300,1486.678464202815,38.55746962914987,5.5872195996123795,0.9934966046828272
139,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,5,200,1501.5022327808583,38.74922235065961,5.342612262829328,0.9934317589011236
112,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,5,200,1501.5022327808583,38.74922235065961,5.342612262829328,0.9934317589011236
66,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,5,100,1509.2163488181236,38.84863380890149,5.9571233734450875,0.9933980139136761
93,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,5,100,1509.2163488181236,38.84863380890149,5.9571233734450875,0.9933980139136761
123,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,10,100,1515.0266372627866,38.92334308949819,6.169819175756917,0.9933725971180661
150,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,10,100,1515.0266372627866,38.92334308949819,6.169819175756917,0.9933725971180661
147,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,5,100,1518.3203406809218,38.9656302487323,5.98384880248834,0.9933581889888697
120,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,5,100,1518.3203406809218,38.9656302487323,5.98384880248834,0.9933581889888697
60,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,10,100,1520.7212906507386,38.99642663951069,5.778752886960661,0.9933476861618185
87,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,10,100,1520.7212906507386,38.99642663951069,5.778752886960661,0.9933476861618185
90,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,2,100,1538.4830720438267,39.22350152706699,6.036117198122294,0.9932699882004112
63,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,2,100,1538.4830720438267,39.22350152706699,6.036117198122294,0.9932699882004112
117,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,2,100,1547.2243247833565,39.33477246385641,5.957827777017549,0.9932317500584719
144,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,2,100,1547.2243247833565,39.33477246385641,5.957827777017549,0.9932317500584719
71,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,10,300,1570.511725354777,39.62968237766708,6.113201968903669,0.9931298805719138
98,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,10,300,1570.511725354777,39.62968237766708,6.113201968903669,0.9931298805719138
142,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,10,200,1580.3780394240182,39.75396885122312,5.6749937197198586,0.9930867209094443
115,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,10,200,1580.3780394240182,39.75396885122312,5.6749937197198586,0.9930867209094443
96,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,10,100,1588.9625276651536,39.86179283054331,6.2328306687887585,0.9930491685254069
69,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,10,100,1588.9625276651536,39.86179283054331,6.2328306687887585,0.9930491685254069
70,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,2,10,200,1616.3521744233901,40.203882578967296,6.186921053962772,0.9929293539826154
97,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,2,10,200,1616.3521744233901,40.203882578967296,6.186921053962772,0.9929293539826154
152,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,10,300,1635.2575709107007,40.43831810190306,6.11098475993333,0.9928466533382291
125,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,10,300,1635.2575709107007,40.43831810190306,6.11098475993333,0.9928466533382291
114,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,10,100,1677.6252987685332,40.958824430988415,5.719041676508389,0.9926613179818731
141,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,10,100,1677.6252987685332,40.958824430988415,5.719041676508389,0.9926613179818731
161,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,10,300,1678.7013752273633,40.97195840117193,6.892478915585777,0.992656610743037
134,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,10,300,1678.7013752273633,40.97195840117193,6.892478915585777,0.992656610743037
74,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,2,300,1681.8771626435273,41.01069571030864,6.8128036050232295,0.9926427184310759
101,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,2,300,1681.8771626435273,41.01069571030864,6.8128036050232295,0.9926427184310759
104,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,5,300,1681.8771626435273,41.01069571030864,6.8128036050232295,0.9926427184310759
77,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,5,300,1681.8771626435273,41.01069571030864,6.8128036050232295,0.9926427184310759
