,model,model__activation,model__alpha,model__hidden_layer_sizes,model__learning_rate,model__max_iter,model__solver,mse,rmse,mae,r2
18,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(100,)",constant,500,adam,2690.8532469105285,51.87343488637058,14.330262930470234,0.9882290065898407
21,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(50, 50)",adaptive,500,adam,3207.273525818346,56.63279549711762,18.874160527331902,0.9859699537385282
20,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(50, 50)",constant,500,adam,3207.273525818346,56.63279549711762,18.874160527331902,0.9859699537385282
30,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(100, 50)",constant,500,adam,5087.869705226792,71.32930467365283,19.880836879808598,0.9777433864738871
31,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(100, 50)",adaptive,500,adam,5087.869705226792,71.32930467365283,19.880836879808598,0.9777433864738871
39,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(100, 50)",adaptive,500,adam,5260.266766538302,72.5276965478589,20.17991680462872,0.9769892447625328
38,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(100, 50)",constant,500,adam,5260.266766538302,72.5276965478589,20.17991680462872,0.9769892447625328
46,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(100, 50)",constant,500,adam,5420.770020330164,73.62587874063144,20.97906473039906,0.9762871318751569
47,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(100, 50)",adaptive,500,adam,5420.770020330164,73.62587874063144,20.97906473039906,0.9762871318751569
28,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(50, 50)",constant,500,adam,6530.017348233596,80.8085227450273,22.37550869278797,0.9714347888490259
29,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(50, 50)",adaptive,500,adam,6530.017348233596,80.8085227450273,22.37550869278797,0.9714347888490259
36,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(50, 50)",constant,500,adam,6642.057383784011,81.49881829685637,22.546395104452035,0.970944675714223
37,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(50, 50)",adaptive,500,adam,6642.057383784011,81.49881829685637,22.546395104452035,0.970944675714223
41,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(50,)",adaptive,500,adam,7506.10373514826,86.63777314282876,21.699451374545855,0.9671649512273309
