tokenizer,remove_stopwords,max_features,f1
split,True,1500,0.27304048882962956
split,True,2000,0.27322586923677694
split,True,2500,0.2721071221845316
split,True,3000,0.266651906389208
split,False,1500,0.26947825909714457
split,False,2000,0.2705872799524519
split,False,2500,0.267579976489959
split,False,3000,0.26512416231140795
nltk,True,1500,0.27228452228655503
nltk,True,2000,0.2735739331866908
nltk,True,2500,0.2708993623775013
nltk,True,3000,0.2661323388711032
nltk,False,1500,0.2696106270299674
nltk,False,2000,0.2696249262131149
nltk,False,2500,0.26877235716721054
nltk,False,3000,0.2658394467050793
