tokenizer,remove_stopwords,max_features,f1
split,True,1500,0.2625195447523841
split,True,2000,0.2623835001316989
split,True,2500,0.2592350692038617
split,True,3000,0.26094549392598787
split,False,1500,0.2526497276771189
split,False,2000,0.2573467265591784
split,False,2500,0.26037181144672644
split,False,3000,0.2607532628609582
nltk,True,1500,0.2573689185702074
nltk,True,2000,0.26037219562449476
nltk,True,2500,0.25640578527537855
nltk,True,3000,0.2619957493068496
nltk,False,1500,0.2534788302955974
nltk,False,2000,0.2571464859249552
nltk,False,2500,0.2576306329462551
nltk,False,3000,0.25473021018439673
