tokenizer,remove_stopwords,max_features,f1
split,True,1500,0.3116053922480704
split,True,2000,0.3163578985112147
split,True,2500,0.3131913600002648
split,True,3000,0.3115138169640132
split,False,1500,0.3171137214876922
split,False,2000,0.3183194655615193
split,False,2500,0.3150067625902915
split,False,3000,0.3147296128402613
nltk,True,1500,0.31339678543050553
nltk,True,2000,0.3155267825847555
nltk,True,2500,0.31309038172944803
nltk,True,3000,0.309736329906183
nltk,False,1500,0.3182326680084484
nltk,False,2000,0.31866905597966244
nltk,False,2500,0.3157114896644729
nltk,False,3000,0.31444419287500597
