,Params,accuracy,precision,recall,f1
0,LogisticRegression,0.3374340949033392,0.31840283216956916,0.3374340949033392,0.30360256234178035
1,RandomForestClassifier,0.341200100426814,0.32257550658035306,0.341200100426814,0.30174543684301114
2,MLPClassifier,0.2585990459452674,0.25118382907960946,0.2585990459452674,0.2542090225406364
3,MultinomialNB,0.3193572683906603,0.2774193176882542,0.3193572683906603,0.26737617024253624
