,Params,accuracy,precision,recall,f1
0,LogisticRegression,0.3347978910369069,0.3176677678977895,0.3347978910369069,0.30016352496081056
1,RandomForestClassifier,0.327014812955059,0.3028370662615393,0.327014812955059,0.2925437560775602
2,MLPClassifier,0.2621139844338438,0.2477529462593721,0.2621139844338438,0.25198147601112214
3,MultinomialNB,0.31534019583228723,0.3143771357702539,0.31534019583228723,0.26537865622282036
