Params,accuracy,precision,recall,f1
LogisticRegression,0.3581471252824504,0.3165575174808022,0.3581471252824504,0.3181515004022299
RandomForestClassifier,0.3079337183027868,0.2398456124423803,0.3079337183027868,0.2475008746947826
MLPClassifier,0.2526989706251569,0.2488072762816044,0.2526989706251569,0.2496113458454933
