,Params,accuracy,precision,recall,f1
0,LogisticRegression,0.3438363042932463,0.32064008169879527,0.3438363042932463,0.30920180734571645
1,RandomForestClassifier,0.33693196083354254,0.3131411758615956,0.33693196083354254,0.2991284429452236
2,MLPClassifier,0.2650012553351745,0.25691828325292093,0.2650012553351745,0.25909973116396906
3,MultinomialNB,0.31973386894300776,0.3752533315872251,0.31973386894300776,0.27018329608551744
