,Params,accuracy,precision,recall,f1
0,LogisticRegression,0.34182776801405973,0.32138591895252705,0.34182776801405973,0.3078078394348702
1,RandomForestClassifier,0.3391915641476274,0.3205486530464804,0.3391915641476274,0.3005223430656864
2,MLPClassifier,0.2656289229224203,0.25765095312787356,0.2656289229224203,0.2606032410729555
3,MultinomialNB,0.3184785337685162,0.27455459945713057,0.3184785337685162,0.26708421502573504
